"","bins","bin.lag.scale","bin.n.scale","tsLength.scale","tsRichness.scale","elev.scale","fit","se.fit"
"1",0,0,0,0,0,0,-3.00089566502743,0.137638923261989
"2",200,0,0,0,0,0,-3.27673049826644,0.109082849244804
"3",400,0,0,0,0,0,-3.53661147232012,0.101028621158563
"4",600,0,0,0,0,0,-3.76437682530658,0.103432255982442
"5",800,0,0,0,0,0,-3.95032196208751,0.106844070855047
"6",1000,0,0,0,0,0,-4.09472795074401,0.110313787259928
"7",1200,0,0,0,0,0,-4.20577869559942,0.113045247738884
"8",1400,0,0,0,0,0,-4.29429381026134,0.114247919867532
"9",1600,0,0,0,0,0,-4.36858185930686,0.11511129011369
"10",1800,0,0,0,0,0,-4.43181531793443,0.115960238193648
"11",2000,0,0,0,0,0,-4.48247248269685,0.116153199664909
"12",2200,0,0,0,0,0,-4.51681616375168,0.116128408730674
"13",2400,0,0,0,0,0,-4.53182892594791,0.116069445985705
"14",2600,0,0,0,0,0,-4.52739688206094,0.115346444491495
"15",2800,0,0,0,0,0,-4.50721136819746,0.114201458102759
"16",3000,0,0,0,0,0,-4.47833207051762,0.113113598573651
"17",3200,0,0,0,0,0,-4.44957713927452,0.111823411845215
"18",3400,0,0,0,0,0,-4.42912561983058,0.11054530468283
"19",3600,0,0,0,0,0,-4.42206386239265,0.109804801925103
"20",3800,0,0,0,0,0,-4.42886295828682,0.109331471042015
"21",4000,0,0,0,0,0,-4.44557318610085,0.10896180027973
"22",4200,0,0,0,0,0,-4.46576792541905,0.108944405457741
"23",4400,0,0,0,0,0,-4.48334657152925,0.108953267813658
"24",4600,0,0,0,0,0,-4.49483796976313,0.108695533715236
"25",4800,0,0,0,0,0,-4.50019339584079,0.108482472535129
"26",5000,0,0,0,0,0,-4.50199064274982,0.108302507359515
"27",5200,0,0,0,0,0,-4.50382416535188,0.107984982318692
"28",5400,0,0,0,0,0,-4.50885795899251,0.107857573328175
"29",5600,0,0,0,0,0,-4.5190368732213,0.10798412694465
"30",5800,0,0,0,0,0,-4.53478913585427,0.108062718477033
"31",6000,0,0,0,0,0,-4.55478744255739,0.108204023307908
"32",6200,0,0,0,0,0,-4.57562979643099,0.108438355481984
"33",6400,0,0,0,0,0,-4.59178950716829,0.108375994231572
"34",6600,0,0,0,0,0,-4.59633391062809,0.107952462319589
"35",6800,0,0,0,0,0,-4.58251785181935,0.10721636353777
"36",7000,0,0,0,0,0,-4.54572656599599,0.105846183353764
"37",7200,0,0,0,0,0,-4.48490853177683,0.103803215109045
"38",7400,0,0,0,0,0,-4.40288401529988,0.101368407301594
"39",7600,0,0,0,0,0,-4.30552728209988,0.0985087956458748
"40",7800,0,0,0,0,0,-4.20030759153848,0.0953319819875294
"41",8000,0,0,0,0,0,-4.09472267772251,0.0923359383041504
"42",8200,0,0,0,0,0,-3.994900973165,0.0896632935875264
"43",8400,0,0,0,0,0,-3.90448542241766,0.0872925620458426
"44",8600,0,0,0,0,0,-3.82406065780865,0.0854928871337541
"45",8800,0,0,0,0,0,-3.7516119400961,0.084190647886143
"46",9000,0,0,0,0,0,-3.68432860491135,0.083096525216293
"47",9200,0,0,0,0,0,-3.62129184243811,0.0824174889113421
"48",9400,0,0,0,0,0,-3.56565505486977,0.0823055514311417
"49",9600,0,0,0,0,0,-3.52467402168374,0.0826124173397777
"50",9800,0,0,0,0,0,-3.50690477757188,0.0835303220128941
"51",10000,0,0,0,0,0,-3.51768197401171,0.0852042628958727
"52",10200,0,0,0,0,0,-3.55542475685985,0.087361489023416
"53",10400,0,0,0,0,0,-3.61121165689246,0.0899356052885622
"54",10600,0,0,0,0,0,-3.67223020799697,0.0928963502074641
"55",10800,0,0,0,0,0,-3.72724738502647,0.0958666515773796
"56",11000,0,0,0,0,0,-3.77086824250429,0.0987369076586287
"57",11200,0,0,0,0,0,-3.8041085449981,0.101667592493972
"58",11400,0,0,0,0,0,-3.83126107497455,0.104523715313486
"59",11600,0,0,0,0,0,-3.8554915506505,0.107250547932671
"60",11800,0,0,0,0,0,-3.87632363046136,0.110057542814145
"61",12000,0,0,0,0,0,-3.89066606036417,0.112874381872272
"62",12200,0,0,0,0,0,-3.89641284886478,0.115578601832677
"63",12400,0,0,0,0,0,-3.89580872777323,0.118385510256198
"64",12600,0,0,0,0,0,-3.89600067414764,0.121421617045828
"65",12800,0,0,0,0,0,-3.9062439428996,0.12471182592888
"66",13000,0,0,0,0,0,-3.93356081002095,0.128493303132398
"67",13200,0,0,0,0,0,-3.9796141234487,0.132826451420912
"68",13400,0,0,0,0,0,-4.04059018845425,0.137545801595407
"69",13600,0,0,0,0,0,-4.10982576101669,0.142753711407509
"70",13800,0,0,0,0,0,-4.18127895847247,0.148583408866692
"71",14000,0,0,0,0,0,-4.25177482076772,0.154916809368186
"72",14200,0,0,0,0,0,-4.32113299057703,0.161752175730243
"73",14400,0,0,0,0,0,-4.39077003433893,0.16914248313449
"74",14600,0,0,0,0,0,-4.46209362361528,0.176928007681358
"75",14800,0,0,0,0,0,-4.53565318160923,0.185050027497471
"76",15000,0,0,0,0,0,-4.61111633773896,0.193578527346883
"77",15200,0,0,0,0,0,-4.68752356034777,0.202381150241281
"78",15400,0,0,0,0,0,-4.76334702116594,0.211325125835773
"79",15600,0,0,0,0,0,-4.83639367940767,0.220421584770808
"80",15800,0,0,0,0,0,-4.90396049551126,0.229528424279485
"81",16000,0,0,0,0,0,-4.96350913206164,0.238449852814904
"82",16200,0,0,0,0,0,-5.01363363559891,0.24716375925921
"83",16400,0,0,0,0,0,-5.05473002307997,0.255602321295928
"84",16600,0,0,0,0,0,-5.08889272809621,0.263664549517711
"85",16800,0,0,0,0,0,-5.1190743917333,0.271457510092622
"86",17000,0,0,0,0,0,-5.14802909826081,0.279092550242519
"87",17200,0,0,0,0,0,-5.17763566974555,0.286558193834961
"88",17400,0,0,0,0,0,-5.208846445078,0.293953090611631
"89",17600,0,0,0,0,0,-5.24204965563295,0.301388870078892
"90",17800,0,0,0,0,0,-5.27743210310983,0.308836918253843
"91",18000,0,0,0,0,0,-5.31508383770063,0.316370319456773
"92",18200,0,0,0,0,0,-5.35489270489017,0.324146006842016
"93",18400,0,0,0,0,0,-5.39644448439566,0.332164144942829
"94",18600,0,0,0,0,0,-5.43906358662921,0.340417511557598
"95",18800,0,0,0,0,0,-5.48193650632259,0.348933993910628
"96",19000,0,0,0,0,0,-5.52417342719596,0.357538029200688
"97",19200,0,0,0,0,0,-5.56476107720498,0.366003262330834
"98",19400,0,0,0,0,0,-5.60251756592228,0.374242101777893
"99",19600,0,0,0,0,0,-5.63619236316184,0.382102061322634
"100",19800,0,0,0,0,0,-5.66471294094448,0.389415490053419
"101",20000,0,0,0,0,0,-5.68740536862987,0.396193233306971
"102",20200,0,0,0,0,0,-5.7039993829558,0.402390711890836
"103",20400,0,0,0,0,0,-5.71441039613486,0.407837151116212
"104",20600,0,0,0,0,0,-5.71850789791125,0.412479846597223
"105",20800,0,0,0,0,0,-5.71611119501583,0.416234209581348
"106",21000,0,0,0,0,0,-5.70723929542356,0.4188588996484
"107",21200,0,0,0,0,0,-5.69236063576836,0.42025817844373
"108",21400,0,0,0,0,0,-5.67231053866877,0.420417044811461
"109",21600,0,0,0,0,0,-5.64778245087747,0.419160314488194
"110",21800,0,0,0,0,0,-5.61868432357684,0.416444945111736
"111",22000,0,0,0,0,0,-5.58385770702291,0.412415296668838
"112",22200,0,0,0,0,0,-5.54147716499985,0.4070911024468
"113",22400,0,0,0,0,0,-5.48998416048676,0.400688367335076
"114",22600,0,0,0,0,0,-5.42900818021175,0.393883801245332
"115",22800,0,0,0,0,0,-5.35970185527372,0.38741410552059
"116",23000,0,0,0,0,0,-5.28429340888819,0.382350211961215
"117",23200,0,0,0,0,0,-5.20515965139869,0.380624195227019
"118",23400,0,0,0,0,0,-5.12398661045797,0.384459558320716
"119",23600,0,0,0,0,0,-5.0414528993968,0.396304321531518
"120",23800,0,0,0,0,0,-4.95748583855599,0.419243172767491
"121",24000,0,0,0,0,0,-4.87180359878209,0.455613641236706
"122",24200,0,0,0,0,0,-4.78437719492799,0.506297374537826
"123",24400,0,0,0,0,0,-4.69559907458349,0.571836123569823
"124",24600,0,0,0,0,0,-4.60614205374313,0.651258063753147
"125",24800,0,0,0,0,0,-4.51657384745861,0.740871712088041
