Europe,Nt America
Acer,Acer
Alnus ,Alnus
Artemisia ,Aquifoliaceae 
Betula ,Artemisia 
Buxus ,Asteraceae 
Calluna vulgaris ,Betula 
Carpinus betulus ,Brassicaceae 
Castanea ,Carya 
Chenopodiaceae ,Caryophyllaceae 
Cerealia-type ,Castanea 
Corylus ,Celtis 
Ephedra ,Cephalanthus 
Ericaceae ,Chenopodiaceae|Amarathaceae 
Fagus ,Corylus 
Filipendula ,Cupressaceae 
Fraxinus ,Cyperaceae 
Poaceae,Dryas 
Hedera ,Ericaceae 
Hippophae ,Fagus 
Ilex ,Fraxinus 
Juglans ,Juglans 
Juniperus ,Larix|Pseudotsuga 
Larix ,Liquidambar 
Oleaceae ,Myricaceae 
Ostrya carpinifolia|Carpinus orientalis ,Nyssa 
Picea ,Ostrya|Carpinus 
Pinus ,Papaveraceae 
Pistacia ,Picea 
Plantago lanceolata ,Pinus 
Populus ,Plantaginaceae 
Pteridium ,Platanus 
Quercus ,Poaceae 
Quercus ilex-type ,Populus 
Rubiaceae ,Pteridium 
Rumex ,Quercus 
Salix ,Rosaceae 
Secale ,Salix 
Taxus ,Saxifraga 
Tilia ,Taxodium 
Ulmus ,Tilia 
Urtica ,Tsuga 
Vitis ,Ulmus 
